Team 1,Team 2,Winner,Margin,Ground,Match Date
Afghanistan,Scotland,Afghanistan,8 wickets,ICCA Dubai,08-01-2015
Afghanistan,Ireland,Ireland,3 wickets,Dubai (DSC),10-01-2015
New Zealand,Sri Lanka,New Zealand,3 wickets,Christchurch,11-01-2015
Ireland,Scotland,Ireland,3 wickets,Dubai (DSC),12-01-2015
Afghanistan,Scotland,Scotland,150 runs,Abu Dhabi,14-01-2015
New Zealand,Sri Lanka,Sri Lanka,6 wickets,Hamilton,15-01-2015
Australia,England,Australia,3 wickets,Sydney,16-01-2015
South Africa,West Indies,South Africa,61 runs,Durban,16-01-2015
New Zealand,Sri Lanka,no result,-,Auckland,17-01-2015
Afghanistan,Ireland,Afghanistan,71 runs,Dubai (DSC),17-01-2015
Australia,India,Australia,4 wickets,Melbourne,18-01-2015
South Africa,West Indies,South Africa,148 runs,Johannesburg,18-01-2015
Ireland,Scotland,no result,-,ICCA Dubai,19-01-2015
New Zealand,Sri Lanka,New Zealand,4 wickets,Nelson,20-01-2015
England,India,England,9 wickets,Brisbane,20-01-2015
South Africa,West Indies,South Africa,9 wickets,East London,21-01-2015
New Zealand,Sri Lanka,New Zealand,108 runs,Dunedin,23-01-2015
Australia,England,Australia,3 wickets,Hobart,23-01-2015
New Zealand,Sri Lanka,New Zealand,120 runs,Dunedin,25-01-2015
South Africa,West Indies,West Indies,1 wicket,Gqeberha,25-01-2015
Australia,India,no result,-,Sydney,26-01-2015
South Africa,West Indies,South Africa,131 runs,Centurion,28-01-2015
New Zealand,Sri Lanka,Sri Lanka,34 runs,Wellington,29-01-2015
England,India,England,3 wickets,Perth,30-01-2015
New Zealand,Pakistan,New Zealand,7 wickets,Wellington,31-01-2015
Australia,England,Australia,112 runs,Perth,01-02-2015
New Zealand,Pakistan,New Zealand,119 runs,Napier,03-02-2015
New Zealand,Sri Lanka,New Zealand,98 runs,Christchurch,14-02-2015
Australia,England,Australia,111 runs,Melbourne,14-02-2015
South Africa,Zimbabwe,South Africa,62 runs,Hamilton,15-02-2015
India,Pakistan,India,76 runs,Adelaide,15-02-2015
Ireland,West Indies,Ireland,4 wickets,Nelson,16-02-2015
New Zealand,Scotland,New Zealand,3 wickets,Dunedin,17-02-2015
Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,18-02-2015
U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson,19-02-2015
New Zealand,England,New Zealand,8 wickets,Wellington,20-02-2015
Pakistan,West Indies,West Indies,150 runs,Christchurch,21-02-2015
Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin,22-02-2015
India,South Africa,India,130 runs,Melbourne,22-02-2015
England,Scotland,England,119 runs,Christchurch,23-02-2015
West Indies,Zimbabwe,West Indies,73 runs,Canberra,24-02-2015
Ireland,U.A.E.,Ireland,2 wickets,Brisbane,25-02-2015
Afghanistan,Scotland,Afghanistan,1 wicket,Dunedin,26-02-2015
Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne,26-02-2015
South Africa,West Indies,South Africa,257 runs,Sydney,27-02-2015
New Zealand,Australia,New Zealand,1 wicket,Auckland,28-02-2015
India,U.A.E.,India,9 wickets,Perth,28-02-2015
England,Sri Lanka,Sri Lanka,9 wickets,Wellington,01-03-2015
Pakistan,Zimbabwe,Pakistan,20 runs,Brisbane,01-03-2015
Ireland,South Africa,South Africa,201 runs,Canberra,03-03-2015
Pakistan,U.A.E.,Pakistan,129 runs,Napier,04-03-2015
Australia,Afghanistan,Australia,275 runs,Perth,04-03-2015
Bangladesh,Scotland,Bangladesh,6 wickets,Nelson,05-03-2015
India,West Indies,India,4 wickets,Perth,06-03-2015
Pakistan,South Africa,Pakistan,29 runs,Auckland,07-03-2015
Ireland,Zimbabwe,Ireland,5 runs,Hobart,07-03-2015
New Zealand,Afghanistan,New Zealand,6 wickets,Napier,08-03-2015
Australia,Sri Lanka,Australia,64 runs,Sydney,08-03-2015
Bangladesh,England,Bangladesh,15 runs,Adelaide,09-03-2015
India,Ireland,India,8 wickets,Hamilton,10-03-2015
Scotland,Sri Lanka,Sri Lanka,148 runs,Hobart,11-03-2015
South Africa,U.A.E.,South Africa,146 runs,Wellington,12-03-2015
New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton,13-03-2015
Afghanistan,England,England,9 wickets,Sydney,13-03-2015
India,Zimbabwe,India,6 wickets,Auckland,14-03-2015
Australia,Scotland,Australia,7 wickets,Hobart,14-03-2015
U.A.E.,West Indies,West Indies,6 wickets,Napier,15-03-2015
Ireland,Pakistan,Pakistan,7 wickets,Adelaide,15-03-2015
South Africa,Sri Lanka,South Africa,9 wickets,Sydney,18-03-2015
Bangladesh,India,India,109 runs,Melbourne,19-03-2015
Australia,Pakistan,Australia,6 wickets,Adelaide,20-03-2015
New Zealand,West Indies,New Zealand,143 runs,Wellington,21-03-2015
New Zealand,South Africa,New Zealand,4 wickets,Auckland,24-03-2015
Australia,India,Australia,95 runs,Sydney,26-03-2015
Australia,New Zealand,Australia,7 wickets,Melbourne,29-03-2015
Bangladesh,Pakistan,Bangladesh,79 runs,Mirpur,17-04-2015
Bangladesh,Pakistan,Bangladesh,7 wickets,Mirpur,19-04-2015
Bangladesh,Pakistan,Bangladesh,8 wickets,Mirpur,22-04-2015
Ireland,England,no result,-,Dublin (Malahide),08-05-2015
Pakistan,Zimbabwe,Pakistan,41 runs,Lahore,26-05-2015
Pakistan,Zimbabwe,Pakistan,6 wickets,Lahore,29-05-2015
Pakistan,Zimbabwe,no result,-,Lahore,31-05-2015
England,New Zealand,England,210 runs,Birmingham,09-06-2015
England,New Zealand,New Zealand,13 runs,The Oval,12-06-2015
England,New Zealand,New Zealand,3 wickets,Southampton,14-06-2015
England,New Zealand,England,7 wickets,Nottingham,17-06-2015
Bangladesh,India,Bangladesh,79 runs,Mirpur,18-06-2015
England,New Zealand,England,3 wickets,Chester-le-Street,20-06-2015
Bangladesh,India,Bangladesh,6 wickets,Mirpur,21-06-2015
Bangladesh,India,India,77 runs,Mirpur,24-06-2015
Zimbabwe,India,India,4 runs,Harare,10-07-2015
Bangladesh,South Africa,South Africa,8 wickets,Mirpur,10-07-2015
Sri Lanka,Pakistan,Pakistan,6 wickets,Dambulla,11-07-2015
Zimbabwe,India,India,62 runs,Harare,12-07-2015
Bangladesh,South Africa,Bangladesh,7 wickets,Mirpur,12-07-2015
Zimbabwe,India,India,83 runs,Harare,14-07-2015
Bangladesh,South Africa,Bangladesh,9 wickets,Chattogram,15-07-2015
Sri Lanka,Pakistan,Sri Lanka,2 wickets,Pallekele,15-07-2015
Sri Lanka,Pakistan,Pakistan,135 runs,Colombo (RPS),19-07-2015
Sri Lanka,Pakistan,Pakistan,7 wickets,Colombo (RPS),22-07-2015
Sri Lanka,Pakistan,Sri Lanka,165 runs,Hambantota,26-07-2015
Zimbabwe,New Zealand,Zimbabwe,7 wickets,Harare,02-08-2015
Zimbabwe,New Zealand,New Zealand,10 wickets,Harare,04-08-2015
Zimbabwe,New Zealand,New Zealand,38 runs,Harare,07-08-2015
South Africa,New Zealand,South Africa,20 runs,Centurion,19-08-2015
South Africa,New Zealand,New Zealand,8 wickets,Potchefstroom,23-08-2015
South Africa,New Zealand,South Africa,62 runs,Durban,26-08-2015
Ireland,Australia,Australia,23 runs,Belfast,27-08-2015
England,Australia,Australia,59 runs,Southampton,03-09-2015
England,Australia,Australia,64 runs,Lord's,05-09-2015
England,Australia,England,93 runs,Manchester,08-09-2015
England,Australia,England,3 wickets,Leeds,11-09-2015
England,Australia,Australia,8 wickets,Manchester,13-09-2015
Zimbabwe,Pakistan,Pakistan,131 runs,Harare,01-10-2015
Zimbabwe,Pakistan,Zimbabwe,5 runs,Harare,03-10-2015
Zimbabwe,Pakistan,Pakistan,7 wickets,Harare,05-10-2015
Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare,09-10-2015
India,South Africa,South Africa,5 runs,Kanpur,11-10-2015
Zimbabwe,Ireland,Zimbabwe,5 wickets,Harare,11-10-2015
Zimbabwe,Ireland,Ireland,2 wickets,Harare,13-10-2015
India,South Africa,India,22 runs,Indore,14-10-2015
Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo,16-10-2015
Zimbabwe,Afghanistan,Afghanistan,58 runs,Bulawayo,18-10-2015
India,South Africa,South Africa,18 runs,Rajkot,18-10-2015
Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo,20-10-2015
Zimbabwe,Afghanistan,Afghanistan,3 wickets,Bulawayo,22-10-2015
India,South Africa,India,35 runs,Chennai,22-10-2015
Zimbabwe,Afghanistan,Afghanistan,73 runs,Bulawayo,24-10-2015
India,South Africa,South Africa,214 runs,Wankhede,25-10-2015
Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (RPS),01-11-2015
Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (RPS),04-11-2015
Bangladesh,Zimbabwe,Bangladesh,145 runs,Mirpur,07-11-2015
Sri Lanka,West Indies,Sri Lanka,19 runs,Pallekele,07-11-2015
Bangladesh,Zimbabwe,Bangladesh,58 runs,Mirpur,09-11-2015
Bangladesh,Zimbabwe,Bangladesh,61 runs,Mirpur,11-11-2015
England,Pakistan,Pakistan,6 wickets,Abu Dhabi,11-11-2015
England,Pakistan,England,95 runs,Abu Dhabi,13-11-2015
U.A.E.,Hong Kong,Hong Kong,89 runs,ICCA Dubai,16-11-2015
England,Pakistan,England,6 wickets,Sharjah,17-11-2015
U.A.E.,Hong Kong,Hong Kong,136 runs,ICCA Dubai,18-11-2015
England,Pakistan,England,84 runs,Dubai (DSC),20-11-2015
Afghanistan,Zimbabwe,Afghanistan,49 runs,Sharjah,25-12-2015
New Zealand,Sri Lanka,New Zealand,7 wickets,Christchurch,26-12-2015
New Zealand,Sri Lanka,New Zealand,10 wickets,Christchurch,28-12-2015
Afghanistan,Zimbabwe,Afghanistan,4 wickets,Sharjah,29-12-2015
New Zealand,Sri Lanka,Sri Lanka,8 wickets,Nelson,31-12-2015
New Zealand,Sri Lanka,no result,-,Nelson,02-01-2016
Afghanistan,Zimbabwe,Zimbabwe,117 runs,Sharjah,02-01-2016
Afghanistan,Zimbabwe,Zimbabwe,65 runs,Sharjah,04-01-2016
New Zealand,Sri Lanka,New Zealand,36 runs,Mount Maunganui,05-01-2016
Afghanistan,Zimbabwe,Afghanistan,2 wickets,Sharjah,06-01-2016
Australia,India,Australia,5 wickets,Perth,12-01-2016
Australia,India,Australia,7 wickets,Brisbane,15-01-2016
Australia,India,Australia,3 wickets,Melbourne,17-01-2016
Australia,India,Australia,25 runs,Canberra,20-01-2016
Australia,India,India,6 wickets,Sydney,23-01-2016
New Zealand,Pakistan,New Zealand,70 runs,Wellington,25-01-2016
